RTA,Year,Somme,Nombre de donateurs
G1K,2020,3680.0,33
G1K,2021,1465.0,23
G1K,2022,5302.0,41
G1K,2023,3065.0,40
G1K,2024,2990.0,37
G1K,2025,3530.0,45
G1K,2026,2100.0,17
G1L,2019,1785.0,28
G1L,2020,2915.0,44
G1L,2021,2470.0,36
G1L,2022,5540.0,37
G1L,2023,2120.0,29
G1L,2024,2831.52,35
G1L,2025,3169.99,43
G1L,2026,3519.0,23
G1M,2019,600.0,14
G1M,2020,1109.88,18
G1M,2021,475.0,7
G1M,2022,4660.0,42
G1M,2023,1935.0,28
G1M,2024,1655.0,25
G1M,2025,1829.98,25
G1M,2026,1213.32,18
G1N,2020,370.0,9
G1N,2021,340.0,6
G1N,2022,1065.0,10
G1N,2023,515.0,9
G1N,2024,685.0,11
G1N,2025,1025.0,14
G1N,2026,685.0,8
G1P,2019,145.0,3
G1P,2020,705.0,11
G1P,2021,500.0,9
G1P,2022,2320.0,19
G1P,2023,715.0,11
G1P,2024,965.0,16
G1P,2025,877.0,13
G1P,2026,740.0,9
G1R,2019,2910.0,41
G1R,2020,10005.0,118
G1R,2021,6162.0,82
G1R,2022,17450.0,134
G1R,2023,10124.0,127
G1R,2024,11245.0,128
G1R,2025,9890.0,118
G1R,2026,6360.0,44
G1S,2019,9645.0,119
G1S,2020,13447.0,171
G1S,2021,10890.0,142
G1S,2022,31643.0,250
G1S,2023,19180.0,224
G1S,2024,19366.25,236
G1S,2025,18980.0,225
G1S,2026,14228.0,110
G1T,2019,2230.0,22
G1T,2020,3545.0,34
G1T,2021,1615.0,20
G1T,2022,5410.0,38
G1T,2023,5010.0,41
G1T,2024,3910.0,43
G1T,2025,3260.0,38
G1T,2026,2850.0,19
G1V,2019,4705.0,53
G1V,2020,3820.0,52
G1V,2021,3180.0,48
G1V,2022,11420.0,101
G1V,2023,9895.0,92
G1V,2024,7555.0,90
G1V,2025,7735.0,91
G1V,2026,3805.0,37
G1W,2019,5207.0,62
G1W,2020,6747.0,68
G1W,2021,3557.0,50
G1W,2022,12122.0,96
G1W,2023,8562.0,94
G1W,2024,8217.0,102
G1W,2025,8177.0,96
G1W,2026,3956.0,39
G1X,2019,4840.0,61
G1X,2020,6625.0,90
G1X,2021,3985.0,57
G1X,2022,12255.0,102
G1X,2023,8265.0,92
G1X,2024,7920.0,103
G1X,2025,6570.0,89
G1X,2026,4185.0,38
G1Y,2019,2665.0,38
G1Y,2020,3935.0,45
